numero,tipo,area_m2,quartos,banheiros,vagas,preco,preco_m2,bairro,rua,descricao,rotulo_manual
79,Terrenos,7000,,,,"R$ 7,000,000","R$ 1,000.00",Rubem Berta,,ARV Imóveis; vende terreno em Porto Alegre/RS. Imóvel possuí 7.000 m² de área territorial. Ideal para empresas do ramo comercial; industrial ou logístico. Ótima localização; próximo a mercados; escolas; comércios. Disponível na região: internet; abastecimento de água; energia elétrica; linha de ônib,0
80,Casas,98,4,,,"R$ 281,250","R$ 2,869.90",Rubem Berta,,Casa 4 quartos à venda no bairro Hípica em Porto Alegre. Casa com 98m² por R$281.250;00. ID 353238926. Confira agora a casa!,0
81,Terrenos,720,,,,"R$ 590,000",R$ 819.44,Rubem Berta,Avenida Martim Félix Berta,🏠 Terreno para venda no bairro Rubem Berta; em Porto Alegre.   Terreno localizado na MARTIM FELIX BERTA; 3337; com uma área total de 720 metros quadrados. O imóvel oferece permissão para construção de área residencial ou comercial; estando a apenas uma quadra da Protásio Alves e em frente ao condomí,0
82,Terrenos,553,,,,"R$ 259,000",R$ 468.35,Rubem Berta,Rua Vicente Celestino,Terreno de Esquina no Bairro Rubem Berta - Excelente Oportunidade  Apresentamos este terreno de esquina no bairro Rubem Berta; com dimensões de 18;95m x 29;33m; ideal para quem busca investir ou construir em uma localização estratégica. Com ampla visibilidade; o terreno oferece inúmeras possibilidad,0
83,Casas,239,4,2,3,"R$ 359,000","R$ 1,502.09",Rubem Berta,Avenida Bernardino Silveira de Amorim,Excelente oportunidade! Casa residencial semimobiliada; com 4 quartos; sendo 1 suíte; e 2 banheiros. Possui 3 vagas de garagem; área de serviço; cozinha; pátio; e muito mais! Aproveite a comodidade de estar em uma localização privilegiada; com acesso asfaltado; internet; e ar condicionado. Esta casa,1
84,Casas,72,4,2,,"R$ 365,000","R$ 5,069.44",Rubem Berta,Avenida Gamal Abdel Nasser,Casa de esquina; bem localizada; próxima a mercados; escolas; academias; CTG; parada de ônibus; farmácias e praças. No mesmo pátio; tem um apartamento com entrada individual para um possível investimento de aluguel. Venha conhecer essa oportunidade de negócio.,0
85,Terrenos,550,,,,"R$ 270,000",R$ 490.91,Rubem Berta,Rua dos Maias,Terreno muito bem localizado; próximo a todas as avenidas. Dimensão 11x50.,0
86,Casas,104,3,2,3,"R$ 650,000","R$ 6,250.00",Rubem Berta,Avenida Delmar Rocha Barbosa,Casa à venda localizado na Avenida Delmar Rocha Barbosa; no bairro Rubem Berta em Porto Alegre. Este imóvel conta com área construída de 103m²; oferecendo 3 quartos; sendo 1 suíte; 2 banheiros e 3 vagas de garagem. Aproveite para visitar esta oportunidade e agende uma visita com um de nossos correto,0
87,Casas,71,3,2,3,"R$ 353,400","R$ 4,977.46",Rubem Berta,Rua dos Maias,Casa à venda no bairro Rubem Berta; em excelente localização. O imóvel possui 3 dormitórios; sendo 1 suíte; 2 salas (uma de estar e outra de jantar); cozinha espaçosa; lavanderia; garagem coberta e conta com uma área gourmet equipada com churrasqueira e fogão à lenha integrados; espaço para horta e ,0
88,Terrenos,328,,,,"R$ 109,900",R$ 335.06,Rubem Berta,Rua Vicente Celestino,Ótimo terreno à venda em Porto Alegre; localizado na Rua Vicente Celestino; no bairro Rubem Berta. Com área total de 327.6m²; o terreno está disponível por R$ 150.000. Não perca essa oportunidade de investimento! Entre em contato conosco para mais informações.,0
89,Casas,105,2,2,1,"R$ 290,000","R$ 2,761.90",Rubem Berta,Rua Aliados,Ótima casa térrea com 2 dormitórios; sala de estar e jantar; varanda; banheiro; ampla cozinha; lavanderia; depósito/anexo e banho com banheira. Possui garagem coberta; nos fundos do terreno há uma edícula. Marque sua visita com o corretor especialista ao lado; atendemos também pelo WhatsApp.,0
90,Terrenos,217,,,,"R$ 204,000",R$ 940.09,Rubem Berta,Avenida Arroio Feijó,De 245 mil por apenas 205 mil reais!!! Terreno alto frente leste; na melhor localização do Condomínio Reserva do Lago! Em frente ao Clube; Piscinas e Lago !!!  São 216 metros quadrados em condomínio com uma infraestrutura completa.  Lazer; Bem-Estar e Segurança!! Lago Exclusivo: Um dos principais di,0
91,Casas,240,4,2,3,"R$ 360,000","R$ 1,500.00",Rubem Berta,Avenida Bernardino Silveira de Amorim,Excelente oportunidade! Casa residencial semimobiliada; com 4 quartos; sendo 1 suíte; e 2 banheiros. Possui 3 vagas de garagem; área de serviço; cozinha; pátio; e muito mais! Aproveite a comodidade de estar em uma localização privilegiada; com acesso asfaltado; internet; e ar condicionado. Esta casa,0
92,Casas,138,3,2,2,"R$ 475,000","R$ 3,442.03",Rubem Berta,Rua Abdo Jorge Curi,Belíssimo sobrado no Parque Santa fé; com 138;37m² de área privativa; sendo; segundo piso com 3 dormitórios; sendo uma suíte com sacada; dois dormitórios e banheiro social; dormitórios com piso laminado. Piso inferior com living amplo; lavabo e cozinha; lavanderia; área com churrasqueira com piso po,1
93,Terrenos,807,,,,"R$ 550,000",R$ 681.54,Rubem Berta,Avenida Martim Félix Berta,NA ESTRADA MARTIN FELIX BERTA; 1177. JARDIM LEOPOLDINA.TERRENO DESOCUPADO COM 806 M2 (10;00 x 48;00 x 58;00 x 15;00) ; junto ao supermercado silveira. com área total de 806m² e topografia plana. Ótima oportunidade de investimento. Entre em contato para mais informações.*atenção; possibilidade de amo,0
94,Terrenos,553,,,,"R$ 259,000",R$ 468.35,Rubem Berta,Rua Vicente Celestino,Terreno de Esquina no Bairro Rubem Berta - Excelente Oportunidade  Apresentamos este terreno de esquina no bairro Rubem Berta; com dimensões de 18;95m x 29;33m; ideal para quem busca investir ou construir em uma localização estratégica. Com ampla visibilidade; o terreno oferece inúmeras possibilidad,0
95,Casas,199,3,2,4,"R$ 670,000","R$ 3,366.83",Rubem Berta,Avenida Maurício Seligman,Casa com 3 dormitórios sendo 1 suíte; banheiro social; living para dois ambientes; cozinha espaçosa semi mobiliada; lavanderia; área com churrasqueira; pátio e vaga de garagem para até 4 carros. Bem iluminada e ventilada. Bairro com ótima localização a poucos metros da Baltazar próximo a todos os re,1
96,Terrenos,255,,,2,"R$ 198,550",R$ 778.63,Rubem Berta,Avenida Arroio Feijó,Foxter vende Excelente Terreno no Condomínio Reserva da Mata com 255m² de área para construção; Condomínio fechado no complexo do Residencial Verdes Campos.  Condomínio fechado em loteamento com segurança e portaria fechada conta com Infra completa; piscina; Sauna; Lounge; Fitness; playground e Laze,0
97,Apartamentos,37,2,,,"R$ 134,860","R$ 3,644.86",Rubem Berta,,Apartamento 2 quartos à venda no bairro Rubem Berta em Porto Alegre. Apartamento com 37m² por R$134.860;00. ID 353302346. Confira agora o apartamento!,0
98,Casas,230,3,3,2,"R$ 270,750","R$ 1,177.17",Rubem Berta,Avenida Bernardino Silveira de Amorim,Imóvel Comercial/Residencial; em Avenida movimentada; ótimo para oficina; deposito; com pé direito alto; etc. com residência em cima com 3 dormitórios; 3 salas; cozinha 3 banheiros; dispensa e varanda fundos e lateral.,0
99,Casas,53,3,2,4,"R$ 348,000","R$ 6,566.04",Rubem Berta,Rua Ajax,Casa com 03 dormitórios e 4 vagas de garagem no bairro Rubem Berta  Esta acolhedora casa; situada em uma rua tranquila do bairro Rubem Berta; oferece o ambiente perfeito para sua família crescer com tranquilidade e qualidade de vida. Com 53m² de área privativa em um generoso terreno de 350m²; a prop,0
100,Casas,53,3,2,4,"R$ 350,000","R$ 6,603.77",Rubem Berta,Rua Ajax,Excelente casa; pronta para morar; de três dormitórios com amplo living; cozinha; área de serviço; banheiro social; garagem coberta para dois carros e espaço para mais dois veículos. A casa em ótimos estado; tem sua documentação toda em dia; aceitando financiamento e FGTS além de possuir edícula com,0
101,Casas,78,2,2,1,"R$ 159,000","R$ 2,038.46",Rubem Berta,Rua Lygia Pratini de Moraes,Excelente casa residencial à venda em Porto Alegre; no bairro Rubem Berta! Ideal para quem busca praticidade; conforto e bom potencial de valorização; esta residência apresenta uma estrutura funcional e bem distribuída; sendo uma ótima opção tanto para moradia quanto para investimento. Com 78 m² de ,0
102,Casas,198,3,2,4,"R$ 550,000","R$ 2,777.78",Rubem Berta,,Casa à venda com 3 dormitórios; suíte; salão de festas e 4 vagas de garagem.  Imóvel com ambientes amplos; excelente área externa e ótima estrutura para quem busca conforto e praticidade.  A casa conta com 3 dormitórios; sendo 1 suíte; sala de estar; cozinha e área de serviço; além de garagem para a,1
103,Terrenos,320,,,,"R$ 145,000",R$ 453.12,Rubem Berta,Rua Caetano La Porta,òtimo Terreno em excelente localização no Bairro Parque dos Maias; na zona antiga; só de casas; proximo a recursos; ônibus; super. Rua calçada. ótima vizinhança. agende hoje mesmo uma visita! -,0
104,Terrenos,233,,,,"R$ 950,000","R$ 4,077.25",Rubem Berta,Avenida Baltazar de Oliveira Garcia,Terreno 233 metros quadrados à venda na Av. Baltazar de Oliveira Garcia - Bairro Rubem Berta - Porto Alegre  Ótima oportunidade para morar ou investir! Terreno à venda localizado na Avenida Baltazar de Oliveira Garcia; uma das principais avenidas da Zona Norte de Porto Alegre; no bairro Rubem Berta.,0
105,Casas,94,2,1,1,"R$ 220,000","R$ 2,340.43",Rubem Berta,Rua Vinte e Cinco,. Excelente casa à venda em ótima localização no bairro Rubem Berta; em Porto Alegre. Com 3 quartos; 1 banheiro; 1 vaga de garagem e uma área total de 97.13 metros quadrados. A casa possui aberturas em madeira; área de serviço; churrasqueira; despensa/deposito e está em ótimo estado de conservação. ,0
106,Terrenos,550,,,,"R$ 270,000",R$ 490.91,Rubem Berta,Rua dos Maias,Terreno muito bem localizado; próximo a todas as avenidas. Dimensão 11x50.,0
107,Terrenos,314,,,,"R$ 300,000",R$ 955.41,Rubem Berta,Avenida Maurício Seligman,Terreno medindo 314m²; localizado na rua Mauricio Seligman; em Porto Alegre. Pode ser adquirido separado ou em conjunto com o terreno ao lado.  Os dois terrenos somam 585m².  Condições especiais para aquisição dos 2 terrenos juntos; com possibilidade de avaliação de imóvel de menor valor; carro e pa,0
108,Casas,321,6,5,4,"R$ 670,000","R$ 2,087.23",Rubem Berta,Rua Rudi Schaly,Seu novo lar; localizada no bairro Parque Santa Fé; área total de 321m² em um terreno de 300m²; esta casa é ideal para quem valoriza espaço e conforto - Possibilidade de comércio.  Distribuída em dois andares; oferece 16 cômodos no total; incluindo 6 quartos espaçosos sendo 2 suítes e 5 banheiros.  ,0
109,Casas,78,2,,1,"R$ 112,332","R$ 1,440.15",Rubem Berta,,Casa 2 quartos à venda no bairro Hípica em Porto Alegre. Casa com 78m² e 1 vaga por R$112.332;00. ID 353292580. Confira agora a casa!,0
110,Casas,179,3,3,3,"R$ 420,000","R$ 2,346.37",Rubem Berta,Rua Luiz Cézar Leal,Foxter vende casa tipo sobrado com 3 dormitórios; sendo 1 suíte com closet. O imóvel conta com sala de estar; cozinha; banheiro social; área de serviço; lavabo e depósito.   Nos fundos; uma edícula com churrasqueira complementa o espaço de lazer. A casa dispõe ainda de um amplo pátio e garagem para ,1
111,Casas,53,3,2,2,"R$ 420,000","R$ 7,924.53",Rubem Berta,Rua Ivo Nicolau Antinolfi,Casa à venda localizado na Rua Ivo Nicolau Antinolfi; no bairro Rubem Berta em Porto Alegre. Este imóvel conta com área construída de 53m²; oferecendo 3 quartos; sendo 1 suíte; 2 banheiros e 2 vagas de garagem. Aproveite para visitar esta oportunidade e agende uma visita com um de nossos corretores.,0
112,Casas,137,3,2,2,"R$ 430,000","R$ 3,138.69",Rubem Berta,Rua Antônio Francisco Lisboa,Casa térrea com 137 m² de área privativa; projetada para oferecer conforto; funcionalidade e muito charme. O imóvel conta com 3 dormitórios amplos; sendo uma suíte com closet; perfeita para quem busca privacidade e um espaço bem distribuído.  A área social é acolhedora; com sala de estar equipada co,1
113,Terrenos,275,,1,,"R$ 250,000",R$ 909.09,Rubem Berta,Rua Amaury Silveira,TERRENO PLANO 11X25 CERCADO; EXCELENTE OPÇÃO PARA CONSTRÇAO DE COMERCIO OUORADIA.  LOCALIZADO AO LADO DOS PRNCIPAIS COMERCIOS E VIAS DE ACESSO DO BAIRRO.  TERRENO POSSUI DUAS MATRICULAS QUE FACILITA PARA CONSTRUÇÃO DE DUAS CASAS OU CASA E COMERCIO.   Agende uma visita com corretor licenciado.,0
114,Casas,300,4,2,4,"R$ 689,000","R$ 2,296.67",Rubem Berta,Avenida Martim Félix Berta,Vendo terreno 10x30 com 02 casas; localizado no bairro Rubem Berta - Porto Alegre Sendo 01 casa da frente com 03 dormitórios; sala; cozinha e banheiro. Casa nos fundos com 01 dormitório; sala cozinha e banheiro. Vaga para 04 carros. Imóvel bem localizado; próximo a comércios; escola e ponto de ônibu,0
115,Casas,77,2,3,2,"R$ 340,000","R$ 4,415.58",Rubem Berta,,Sobrado de 2 dormitórios sendo os 2 suítes e sacada em um deles; living com 2 ambientes; lavabo; cozinha montada; área de serviço com espera para máquinas; pátio nos fundos; pátio da frente com 2 vagas de estacionamento; gradil. Fica no imóvel as persianas; ar condicionado; móveis de escritório e da,0
116,Terrenos,350,,,,"R$ 255,000",R$ 728.57,Rubem Berta,Rua Alberto Rangel,Terreno à venda no bairro Rubem Berta - 350 metros quadrados | Porto Alegre  Ótima oportunidade para construir ou investir na Zona Norte de Porto Alegre! Terreno à venda localizado na Rua Alberto Rangel; no bairro Rubem Berta; região com crescimento constante e boa infraestrutura urbana.  Com 350 me,0
117,Casas,137,3,2,2,"R$ 430,000","R$ 3,138.69",Rubem Berta,Rua Antônio Francisco Lisboa,Casa térrea com 137 m² de área privativa; projetada para oferecer conforto; funcionalidade e muito charme. O imóvel conta com 3 dormitórios amplos; sendo uma suíte com closet; perfeita para quem busca privacidade e um espaço bem distribuído.  A área social é acolhedora; com sala de estar equipada co,1
118,Casas,80,4,2,1,"R$ 280,000","R$ 3,500.00",Rubem Berta,Rua Norberto Treis,Casa 03 dormitórios; living com 02 ambientes; 02 banheiros sociais ; cozinha e 1 vaga. Tem outra casa nos fundos com 1 dorm; área de serviços; churrasqueira. Pátio amplo com área de circulação calçada e jardim. Bairro bom e com vários recursos de transportes e comércio local. Fácil deslocamento para,0
119,Casas,54,3,2,,"R$ 399,000","R$ 7,388.89",Rubem Berta,,Apresentamos uma oportunidade única para adquirir sua casa dos sonhos por um preço imperdível Esta charmosa residência na Rua Caetano La Porta oferece conforto e conveniência para sua família. Com um espaçoso terreno de 376 m² e uma construção de 54 m²; esta casa pronta para uso dispõe de 3 quartos ,0
120,Casas,200,4,3,1,"R$ 550,000","R$ 2,750.00",Rubem Berta,Rua Pastor Gustav Nordlund,Está disponível para venda uma encantadora casa no Bairro Parque Santa Fé; com uma configuração que inclui 4 dormitórios; dos quais 2 são suítes. A casa possui um total de 3 banheiros; proporcionando comodidade para os moradores. Além disso; há duas salas; criando espaços distintos para atividades d,1
121,Casas,290,3,2,2,"R$ 650,000","R$ 2,241.38",Rubem Berta,Avenida Delmar Rocha Barbosa,Casa à venda localizado na Avenida Delmar Rocha Barbosa; no bairro Rubem Berta em Porto Alegre. Este imóvel conta com área construída de 290m²; oferecendo 3 quartos; sendo 1 suíte; 2 banheiros e 2 vagas de garagem. Aproveite para visitar esta oportunidade e agende uma visita com um de nossos correto,1
122,Terrenos,805,,,,"R$ 550,000",R$ 683.23,Rubem Berta,Avenida Martim Félix Berta,NA ESTRADA MARTIN FELIX BERTA; 1177. JARDIM LEOPOLDINA.TERRENO DESOCUPADO COM 806 M2 (10;00 x 48;00 x 58;00 x 15;00) ; junto ao supermercado silveira. com área total de 806m² e topografia plana. Ótima oportunidade de investimento. Entre em contato para mais informações.*atenção; possibilidade de amo,0
123,Terrenos,550,,,,"R$ 350,000",R$ 636.36,Rubem Berta,,Terreno plano na Rua dos Maias; Terreno plano com 550 metros de área total; desocupado; parcelamento direto. 10 metros de frente por 55 metros de profundidade,0
124,Casas,200,3,3,,"R$ 549,000","R$ 2,745.00",Rubem Berta,Rua Vicenta Maria,Casa térrea no bairro Rubem Berta com 3 quartos sendo uma suíte; amplo living; cozinha e sala de jantar com saída para jardim de inverno. 200 M². Edícula nos fundos com dependência de empregada (ou 4º quarto); banheiro e salão de festas. Terraço. Pátio em frente à casa com gramado e nos fundos com b,1
125,Casas,107,2,1,1,"R$ 180,000","R$ 1,682.24",Rubem Berta,Rua Moroty Baldwin Michel,Casa à venda localizado na Rua Moroty Baldwin Michel; no bairro Rubem Berta em Porto Alegre. Este imóvel conta com área construída de 107m²; oferecendo 2 quartos; 1 banheiro e 1 vaga de garagem. Aproveite para visitar esta oportunidade e agende uma visita com um de nossos corretores.,0
126,Terrenos,553,,,,"R$ 260,000",R$ 470.16,Rubem Berta,Rua Vicente Celestino,Oportunidade de Terreno à Venda  Excelente terreno de esquina com 553m²; localizado no Bairro Rubem Berta; próximo a avenida Bernardino Silveira Amorim. Este espaço amplo é ideal para diversas possibilidades; como a construção de residências; comércio ou um pequeno empreendimento.  O bairro Rubem Be,0
127,Casas,39,2,,,"R$ 170,500","R$ 4,371.79",Rubem Berta,,Casa 2 quartos à venda no bairro Hípica em Porto Alegre. Casa com 39m² por R$170.500;00. ID 353241576. Confira agora a casa!,0
128,Casas,190,3,3,2,"R$ 520,000","R$ 2,736.84",Rubem Berta,Rua Luiz Cézar Leal,Foxter Cia Imobiliária oferta para venda impecável casa; localizada no bairro Rubem Berta; com dois pavimentos; muito ampla e iluminada; semi-mobiliada; living 3 ambientes com lavabo; sala de jantar; cozinha conceito aberto mobiliada; espaço gourmet com churrasqueira. No segundo andar ampla sala de ,1
129,Casas,278,3,4,4,"R$ 490,000","R$ 1,762.59",Rubem Berta,Rua Caetano La Porta,Casas para venda com   e 3 quartos em Rubem Berta; 278 m² por R$ 490.000;00. Entre em contato com Moretto Imóveis!,1
130,Casas,170,3,2,2,"R$ 480,100","R$ 2,824.12",Rubem Berta,Rua Jenny Seabra de Souza,Ótimo casa de 3 dormitórios sendo 1 suíte com hidro e closet em bairro calmo e tranquilo com vizinhança pacata.   Construção sólida; conta com piso frio em toda a residência garagens para dois carros grandes com churrasqueira rotativa já instalada e jardim de inverno. Ficam dois splits e móveis plan,1
131,Terrenos,25500,,,,"R$ 3,200,000",R$ 125.49,Rubem Berta,Avenida Delegado Ely Corrêa Prado,ótimo terreno para construir; com uma frente de 100 metros por 250 metros de fundos;perto de super mercado e fim de linha dos ônibus.,0
132,Terrenos,1500,,,,"R$ 690,000",R$ 460.00,Rubem Berta,,Oportunidade Imperdível para Investidores e Construtoras!  Apresentamos um terreno de 1500 m² localizado no bairro Rubem Berta em Porto Alegre. Este espaço oferece potencial para o desenvolvimento de empreendimento residencial ou comercial; em uma área que vem crescendo. Para Mais informações; entre,0
133,Terrenos,805,,,,"R$ 550,000",R$ 683.23,Rubem Berta,Avenida Martim Félix Berta,NA ESTRADA MARTIN FELIX BERTA; 1177. JARDIM LEOPOLDINA.TERRENO DESOCUPADO COM 806 M2 (10;00 x 48;00 x 58;00 x 15;00) ; junto ao supermercado silveira. com área total de 806m² e topografia plana. Ótima oportunidade de investimento. Entre em contato para mais informações.*atenção; possibilidade de amo,0
134,Casas,240,4,2,3,"R$ 359,000","R$ 1,495.83",Rubem Berta,Avenida Bernardino Silveira de Amorim,Excelente oportunidade! Casa residencial semimobiliada; com 4 quartos; sendo 1 suíte; e 2 banheiros. Possui 3 vagas de garagem; área de serviço; cozinha; pátio; e muito mais! Aproveite a comodidade de estar em uma localização privilegiada; com acesso asfaltado; internet; e ar condicionado. Esta casa,0
135,Apartamentos,43,2,,,"R$ 88,000","R$ 2,046.51",Rubem Berta,,Apartamento 2 quartos à venda no bairro Rubem Berta em Porto Alegre. Apartamento com 43m² por R$88.000;00. ID 353303144. Confira agora o apartamento!,0
136,Terrenos,553,,,,"R$ 259,000",R$ 468.35,Rubem Berta,Rua Vicente Celestino,Terreno de Esquina no Bairro Rubem Berta - Excelente Oportunidade  Apresentamos este terreno de esquina no bairro Rubem Berta; com dimensões de 18;95m x 29;33m; ideal para quem busca investir ou construir em uma localização estratégica. Com ampla visibilidade; o terreno oferece inúmeras possibilidad,0
137,Terrenos,720,,,,"R$ 590,000",R$ 819.44,Rubem Berta,Avenida Martim Félix Berta,🏠 Terreno para venda no bairro Rubem Berta; em Porto Alegre.   Terreno localizado na MARTIM FELIX BERTA; 3337; com uma área total de 720 metros quadrados. O imóvel oferece permissão para construção de área residencial ou comercial; estando a apenas uma quadra da Protásio Alves e em frente ao condomí,0
138,Terrenos,233,,,,"R$ 950,000","R$ 4,077.25",Rubem Berta,Avenida Baltazar de Oliveira Garcia,Terreno 233 metros quadrados à venda na Av. Baltazar de Oliveira Garcia - Bairro Rubem Berta - Porto Alegre  Ótima oportunidade para morar ou investir! Terreno à venda localizado na Avenida Baltazar de Oliveira Garcia; uma das principais avenidas da Zona Norte de Porto Alegre; no bairro Rubem Berta.,0
139,Casas,47,2,,,"R$ 101,640","R$ 2,162.55",Rubem Berta,,Casa 2 quartos à venda no bairro Vila Nova em Porto Alegre. Casa com 47m² por R$101.640;00. ID 353292589. Confira agora a casa!,0
140,Casas,310,4,3,1,"R$ 345,000","R$ 1,112.90",Rubem Berta,Rua Moroty Baldwin Michel,Casa à venda localizado na Rua Moroty Baldwin Michel; no bairro Rubem Berta em Porto Alegre. Este imóvel conta com área construída de 310m²; oferecendo 4 quartos; 3 banheiros e 1 vaga de garagem. Aproveite para visitar esta oportunidade e agende uma visita com um de nossos corretores.,0
141,Casas,75,3,2,5,"R$ 435,000","R$ 5,800.00",Rubem Berta,Rua Antônio Francisco Lisboa,Casa totalmente terrea ; residencia ha 70 metros da Baltazar terreno de 10x30 com 02 dormitórios sendo amplo living; banheiro social ; garagem para varios carros; pátio amplo com piscina.Nos fundos salao de festas ; com banheiro social ; dormitorio; churrasqueira; Facil acesso a todos recursos do ba,0
142,Terrenos,2140,,,,"R$ 955,000",R$ 446.26,Rubem Berta,Rua dos Maias,Terreno à Venda - 2.140 m² - Bairro Rubem Berta - Porto Alegre  Excelente oportunidade de investimento ou construção de seu novo projeto!  Localizado na Rua dos Maias; no bairro Rubem Berta - Porto Alegre; este terreno possui 2.140m² de área total; oferecendo amplo espaço e grande potencial para con,0
143,Casas,88,3,1,5,"R$ 380,000","R$ 4,318.18",Rubem Berta,Rua Horácio Vaz Pinheiro,Ótima casa à venda - pronta para morar! Excelente casa localizada próxima à Avenida Baltazar de Oliveira Garcia; em uma rua tranquila e residencial; ideal para quem busca conforto; segurança e praticidade no dia a dia. O imóvel é ensolarado; bem ventilado e com ótima iluminação natural; oferecendo a,0
144,Terrenos,28245,,,,"R$ 9,360,000",R$ 331.39,Rubem Berta,Avenida Bernardino Silveira de Amorim,Ótima oportunidade de investimento! Área à venda localizada na Avenida Bernardino Silveira De Amorim; no bairro Rubem Berta em Porto Alegre. A área privativa é de 28244.6m² e a área total também é de 28244.6m². A topografia do terreno é plano; e possui frente para a rua. Não perca essa oportunidade ,0
145,Casas,135,4,2,4,"R$ 430,000","R$ 3,185.19",Rubem Berta,Travessa Nilva Garrido,Casa 4 dormitórios; 2 banheiros; sala com 2 ambientes; cozinha e banheiros prontos; semi mobiliada; pronta para morar; ar condicionado; garagem fechada com churrasqueira; e ótimo pátio nos fundos. Próximo a Baltazar; mercados; escolas. Com 135m2 de construção e com excelente acabamento. Podendo ser ,1
146,Casas,203,3,1,,"R$ 550,000","R$ 2,709.36",Rubem Berta,Rua Cacilda Yaconis Becker,Sobrado impecável de fácil localização; próximo de todos recursos. Possui 3 dormitórios sendo 1 suítes; lavabo; banheiro social sala de estar; sala de jantar; churrasqueira e vaga coberta para 2 carros. Área de 202m² privativos e 300m² no total.,1
147,Terrenos,224,,,,"R$ 165,000",R$ 736.61,Rubem Berta,Avenida Arroio Feijó,Excelente terreno; para construção de residencia em condomínio de casas muito seguro; com infra estrutura de lazer completa; dentro do bairro planejado Verdes Campos; encontra-se à venda com toda a documentação em dia! Baixa taxa condominial com portaria.OBS: ACEITA PROPOSTA !! Estudamos seu imóvel ,0
148,Casas,326,3,3,4,"R$ 450,000","R$ 1,380.37",Rubem Berta,Rua Esther Esqueff da Silva,Casa com 03 dormitórios ; sendo 02 suítes com sacada; a principal bem ampla com closet e hidromassagem. Escritório; living com 02 ambientes com lareira. Banheiro social e ampla cozinha. Pátio com área de lazer com churrasqueira; fogão à lenha; banheiro; terraço e garagem para 04 carros. Possui siste,1
149,Casas,202,3,3,2,"R$ 590,000","R$ 2,920.79",Rubem Berta,,Residência de 03 dormitórios sendo 01 suíte; living espaçoso; 03 banheiros; área de serviço com churrasqueira; 01 vaga de garagem fechada e 01 descoberta; bairro tranquilo e próximo a vários comércios.,1
150,Casas,300,3,3,,"R$ 677,000","R$ 2,256.67",Rubem Berta,Avenida Maurício Seligman,Casa com 03 dormitórios sendo 01 suíte; sala de estar/jantar; 02 banheiros social suíte (com banheira); cozinha; vaga para vários carros; espaço gourmet salão de festas; com churrasqueira; lavanderia; alarme; casa toda gradeada; instalação de sistema de água quente. Pátio grande pronto para colocar ,1
151,Terrenos,217,,,,"R$ 204,000",R$ 940.09,Rubem Berta,Avenida Arroio Feijó,De 245 mil por apenas 205 mil reais!!! Terreno alto frente leste; na melhor localização do Condomínio Reserva do Lago! Em frente ao Clube; Piscinas e Lago !!!  São 216 metros quadrados em condomínio com uma infraestrutura completa.  Lazer; Bem-Estar e Segurança!! Lago Exclusivo: Um dos principais di,0
152,Terrenos,806,,,,"R$ 550,000",R$ 682.38,Rubem Berta,Avenida Martim Félix Berta,NA ESTRADA MARTIN FELIX BERTA; 1177. JARDIM LEOPOLDINA. TERRENO DESOCUPADO COM 806 M2 (10;00 x 48;00 x 58;00 x 15;00) ;  junto ao supermercado silveira.  com área total de 806m² e topografia plana.  Ótima oportunidade de investimento.  Entre em contato para mais informações. *atenção; possibilidade ,0
153,Terrenos,720,,,,"R$ 1,500,000","R$ 2,083.33",Rubem Berta,Avenida Bernardino Silveira de Amorim,🏠 Terreno para venda no bairro Rubem Berta; em Porto Alegre.  Este terreno possui área total de 720 m²; localizado na Avenida Bernardino Silveira de Amorim; número 520. Com potencial construtivo; é ideal para a construção de prédios comerciais; oferecendo diversas oportunidades de investimento.     ,0
154,Casas,260,2,1,4,"R$ 455,050","R$ 1,750.19",Rubem Berta,Avenida João Ferreira Jardim,Foxter Cia Imobiliária vende terreno com 4 casas de alvenaria; contendo cada uma 2 dormitórios; cozinha; área de serviço sala ampla e banheiro com 1 vaga; portão eletrônico. Atualmente 3 locadas com inquilinos pontuais; excelente para obtenção de renda; localizado no Parque Santa Fé; próximo de esco,0
155,Casas,170,3,2,2,"R$ 699,000","R$ 4,111.76",Rubem Berta,Avenida Doutor Rubem Knijnik,Kasa Imóveis apresenta esta excelente casa de alvenaria localizada em um dos melhores pontos do bairro Rubem Berta; na zona norte de Porto Alegre. Com um projeto funcional e aconchegante; este imóvel foi planejado para oferecer conforto; praticidade e momentos inesquecíveis em família.  O imóvel con,1
156,Casas,73,2,,,"R$ 330,000","R$ 4,520.55",Rubem Berta,,Casa 2 quartos à venda no bairro Hípica em Porto Alegre. Casa com 73m² por R$330.000;00. ID 353302350. Confira agora a casa!,0
157,Casas,128,3,3,3,"R$ 424,000","R$ 3,312.50",Rubem Berta,Rua dos Maias,Terreno amplo com 530m²; com ampla casa com 128m²; 3 quartos com uma suite; mais 1 banheiro social. Cozinha e sala jantar integrados; esala estar . Salão de festas com 70m²; banheiro; churrasqueira; lavanderia; depósito e estacionamento para 3 carros. Na lateral da casa garagem para mais 1 carro. Ac,1
